"scientificName","Ecology","Biology","Dispersal"
"Amblycheila baroni Rivers, 1890","Ecology. Stenotopic, saxicolous, xerophilous, pholeophilous, crepuscular, epigean-fossorial (adult), fossorial (larva). Woodland (juniper, oak) canyons and craggy montane peaks: base of cliffs and boulders. Somewhat shaded ground, dry rocky soil. Larval habitat: A woodland canyon. Crepuscular: hides during the day in self constructed burrows, rodent burrows, rarely under large stones or logs. Gregarious.","Biology. Seasonality: June, July (mostly), September. Third-instar larvae: July. Adult food, in the laboratory: tenebrionid adults and larvae, drosophilid flies, and other insects. Larval food, in the laboratory: tenebrionid larvae. Larval parasites: bombyliid flies. Defense mechanism: Retreating to deep rocky fissures when disturbed. Best collected by bait trapping or pitfall trapping.","Dispersal power. Subapterous. Slow runner."
"Amblycheila cylindriformis (Say, 1823)","Ecology. Eurytopic, steppicolous, xerophilous, pholeophilous, myrmecophilous, crepuscular, epigean-fossorial (adult), fossorial (larvae). Banks, cliffs, gullies, ravines, ditches, and river bluffs Situated in hilly prairies, grasslands, cultivated lands, and pastures. Open ground, sloping, well-drained, dry, clayey (rarely sandy or rocky), bare or sparsely vegetated soil. Adults tend to walk at night in the vicinity of animal burrows or mesquite clumps, near the bases of or along the sides of clay banks. Larval habitat: Dry, clay banks and cliffs, often near mammal burrows, larval burrows (35-97.5 cm deep) nearly vertical for about 45 cm, turning to a subhorizontal position in their lower part, each larval colony limited to a 25 cm radius and usually consisting of 2 to 11 individuals. Nocturnal, mostly crepuscular, occasionally active on warm cloudy afternoons, usually hiding in the daytime and on cold days in self-constructed burrows, rodent burrows (gopher, kangaroo rat, badger), rattlesnake burrows, ant mounds, sometimes in yucca clumps and under stones or other objects, larva coming near the soil surface after sundown or earlier on cloudy days. Associated species: Pasimachus (carabids) and Eleodes (tenebrionids).","Biology. Seasonality: May-September. in KS, mostly June. Summer species. Mating: May. Oviposition: Groups of one to two dozen eggs deposited near the soil surface. Third-instar larvae: May and August. Omnivorous, predaceous, necrophagous. Adult food, in the field: caterpillars, acridid nymphs, cerambycids, scarabaeids, tenebrionids, ants, spiders, dead insects, carrion, and dried yucca petals. Noise of individuals shredding yucca petals can be heard at quite a distance. Adults sometimes cannibalistic. Adult food, in the laboratory: caterpillars, locusts, other insects, and fresh meat. Larval food, in the field: Ants and other insects (e.g., an adult Cicindela). Sight very poor. Predators: skunks, birds, and spiders. Defense mechanism: immediately retreating underground when emerging from its burrow and seeing movement; making no attempt to escape when disturbed outside of its burrow; sometimes delivering a painful bite when captured. Best collected with a flashlight in the earliest part of a warm, calm evening or by baiTier pitfall trapping. Not shy.","Dispersal power. Subapterous. Slow runner. When on the move, raising body very high and keeping the antennae in constant motion. Note. Before it was known to be nocturnal, the species was considered a rarity and commonly valued at 15 to 20 dollars each; for instance, the type of the beetle was sold for $300 by Thomas Say, and the second specimen, captured about 20 years later, was purchased for $50. By trading several hundreds specimens of this valuable tiger beetle as high as 25 dollars each, the well-known Professor F.H. Snow of the University of Kansas at Lawrence, the discoverer of its favorite haunt, was able both to consolidate an important general beetle collection at his university, and provide his collecting students a substantial amount of money to cover their university expenses for a whole year. As soon as the nocturnal habits of this species became known to the public, the price immediately went down to 50 cents per specimen."
"Amblycheila hoversoni Gage, 1991","Ecology. Stenotopic, silvicolous, psammophilous, pholeophilous, nocturnal, epigean- fossorial (adult). Mostly scrublands; also rangelands. Mostly shaded ground; well-drained, moist or dry, sandy soil mixed with silt and clay. Nocturnal; active after midnight; hiding during the day in animal burrows and leaf litter.","Biology. Seasonality: April-November, except June. Predaceous. Adult food, in the field: adult and larvae of camel crickets, spiders, and other arthropods. Adult food, in the laboratory: caterpillars, crickets, beetles, millipedes, and centipedes. Predators: various birds.","Dispersal power. Subapterous. Slow runner."
"Amblycheila picolominii Reiche, 1839","Ecology. Stenotopic, xerophilous, saxicolous, epigean. Rocky areas. Open ground; bare, dry, rocky soil. Nocturnal; seen active at dusk.","Biology. Seasonality: April-July.","Dispersal power. Subapterous. Slow runner."
"Amblycheila schwarzi W. Hom, 1903","Ecology. Stenotopic, deserticolous, xerophilous, nocturnal, epigean (adult); fossorial (larva). Desert mountains, canyons, and bases of hills. Open ground; well-drained, dry, sandy, rocky or stony soil with sparse vegetation. Nocturnal; also seen foraging at dusk; especially active the night following midaftemoon rains; hiding during the day under flat sandstone rocks. Solitary.","Biology. Seasonality: March-September. Two peaks of activity: MarchMay, August (CA). Duration of life cycle: 6 years. Predaceous. Adult food, in the laboratory: tenebrionids. Very poor sight.","Dispersal power. Subapterous. Slow runner.",
"Cicindela abdominalis Fabricius, 1801","Ecology. Stenotopic, silvicolous, xerophilous, psammophilous, thermophobous, epigean (adult); thermophobous, fossorial (larva). Pine barrens, sand hills, and scrublands: roads, paths, openings, and edges. Shaded or half-shaded ground; well-drained, dry, sparsely vegetated, white sandy soil often blackened by dead lichens, small twigs, pine needles, bud scales or by fires. Adults tend to occur close to low grass or lichens. Larval habitat: along a roadside; burrows (about 62.5 cm deep) dug into hard-packed soil. Nocturnal; remaining active during the day when raining; often hiding on hot days in shaded areas grown with lichens. Larva closes its burrow in response to increased temperature. Solitary or occurring in small groups. Associated species: C. gratiosa and C. punctulata punctulata.","Biology. Seasonality: March- November, mostly July; in SC, MayOctober. Summer species. Oviposition: August. Duration of larval life': Possibly 1 year. Predators: asilid flies. Defense mechanism: cryptic coloration - body color and size blending perfectly with the mosaic formed by blackened areas of dead lichens, pieces of fallen wood, cryptogamic soil or charcoal lying on white sand; flash coloration - exposing its orange abdomen when flying to deter predators; flying only short distances, usually 5 to 1 0 m, when disturbed; producing defensive secretions and a strong scent when seized.","Dispersal power. Macropterous. Weak flier. Attracted to artificial lights at night. Fast runner. A colonizer of disturbed areas. Conservation status. Sometimes threatened by the destruction of its preferred habitat. e.g., the disappearance of open areas in pine barrens due to fire suppression which favors the regeneration of the ground vegetation.",
"Cicindela amargosae amargosae Dahl, 1939","Ecology. Stenotopic, hygrophilous, halophilous, epigean. Salt flats and vicinity of natural springs. Open ground; moist, dark, muddy, saline, grassy soil. Diurnal; active even on very windy days.","Biology. Seasonality: April (mostly), May-June. Mating: May.","Dispersal power. Macropterous. Fast runner. Conservation status. Rare species.",
"Cicindela amargosae nyensis Rumpp, 1956","Ecology. Stenotopic, riparian, hygrophilous, halophilous, epigean. Edges of small rivulets; mud flats along rivers; river beds and vicinity of lake shores. Open ground; mostly wet, muddy, alkaline soil. Adults tend to occur among patches of short grasses. Diurnal. Gregarious.","Biology. Seasonality: April-August. Defense mechanism: Flying only a short distance when disturbed. Rather wary.","Dispersal power. Macropterous. Weak flier. Fast runner.",
"Cicindela ancocisconensis T. W. Harris, 1852","Ecology. Stenotopic, riparian, psammophilous, thermophobous, epigean (adult); fossorial (larva). Banks and bars of rivers (mostly) and brooks, preferably with clear, clean running water. Usually close to the water's edge, but sometimes within 60 m of it on upper banks and adjoining roads, paths, and fields. Open ground; moist or dry sand, sometimes mixed with silt, clayey or loamy, often with a few scattered stones, bare or sparsely vegetated with tall grass. Larval habitat: burrows usually dug into sandy-loamy soil, often far from the water's edge. Adult and larva able to survive high water floods. Diurnal; shuttling between the water's edge and the dry upper banks during the hottest part of the day; sheltering in late afternoon for the night on upper banks in self-constructed burrows dug among grass; hiding on cloudy days on brook banks, under stones, boards, and twigs. Semi-gregarious. Associated species: C. repanda repanda and C. duodecimguttata.","Biology. Seasonality: April-September, mostly May-June, with a 3-week gap in midsummer when the adult disappears. Spring-fall species. Duration of life cycle: Possibly 2-3 years. Mating: April-June; coitus lasting 3 min. Oviposition: Spring (WV). Tenerals: August (NH, QU). Overwintering both in the adult and larval stages. Predaceous. Adult food, in the laboratory: ants, carabids, wasps, and earthwonns. Defense mechanism: cryptic coloration - body color blending perfectly with the surrounding moist sand; running among the tall grass when alanned; flying readily when pursued, usually rather low and 1 to 2 m away from starting point. Wary.","Dispersal power. Macropterous. Good flier. Fast runner. Conservation status. Threatened species (OH).",
"Cicindela arenicola Rumpp, 1967","Ecology. Stenotopic, xerophilous, psammophilous, thermophilous, heliophilous, epigean (adult); thennophobous, fossorial (larva). Sand dunes. Open ground; well-drained, dry, sandy soil, bare or sparsely v~getated. Larval habitat: flattened, bowled-shaped portions of sand dunes; burrows (42 cm deep on average) usually dug into bare, sandy soil; larva active from April to June and September to November; burrows usually closed between July-September, i.e., during the hot, dry months. Diurnal; active on sunny, warm ( 19-45°C) days; hiding on windy, cloudy or rainy days.","Biology. Seasonality: April-June, August-November. Spring-fall species. Duration of life cycle: 2-4 years. Mating: April. Oviposition: April. Pupation: August. Tenerals: August-September. Overwintering both in tbe adult and larval stages, in burrows dug into the sand. Predaceous. Larval food, in the laboratory: Mealworms. Very wary. Hard to capture when the sand gets hot.","Dispersal power. Wing condition unknown. Fast runner. Conservation status. Rare species. Threatened by habitat loss and grazing by cattle, which has a significant effect on larval mortality.",
"Cicindela arida A.C. Davis, 1928","Ecology. Stenotopic, riparian, hygrophilous, epigean. Stream margins. Open ground; moist, muddy, grassy soil. Adult tending to occur mostly near the green grass. Diurnal; seen foraging in midmorning. Gregarious. Associated species: C. nevadica nevadica, C. hemorrhagica hemorrhagica, and C. tenuisignata.","Biology. Seasonality: March, August, October. Spring-fall species. Defense mechanism: flying only short distances, then immediately returning to the water's edge when pursued. Not very wary.","Dispersal power. Macropterous. Good flier. Fast runner.",
"Cicindela belfragei (Salle, 1877)","Ecology. Eurytopic, steppicolous, heliophilous, epigean. Grasslands, sodded fields, hilltops, slopes, vacant lots, roadside ditches, roadsides, river and brook banks. Adult seasonally changing its habitat, from hilltops in early season to watercourses in August. Open ground; moist or dry, sandy or loamy, sparsely vegetated or bare soil. Adult tending to occur among weeds. Diurnal; active at all hours, but mostly between 2:00 P.M. and 5:00 P.M., on both sunny and cloudy days,","Biology. Seasonality: May-August.","Dispersal power. Subapterous. Fast runner. Long-distance disperser.",
"Cicindela bellissima bellissima Leng, 1902","Ecology. Stenotopic, coastal, xerophilous, psammophilous, epigean (adult); fossorial (larva). Sand dunes, mostly along the sea shore. Open ground; shifting, rather dry, sandy soil sparsely vegetated or bare. Larval habitat: Same as the adult; burrow mouth becoming ·filled with drifting sand. Diurnal; active between 10:00 A.M. and 3:00 P.M., preferably between 24 and 27°C. Larva being nocturnal, mostly crepuscular. Solitary. Associated species: C. oregona oregona.","Biology. Seasonality: April-September, with emergence peak in late summer-early fall. Mating: May. Tenerals: June-July. Defense mechanism: Reluctant to fly unless disturbed, then flying nearly straight upward 30 to 60 cm from its starting point.","Dispersal power. Macropterous. Weak flier. Fast runner.",
"Cicindela bellissima frechini Leffler, 1979","Ecology. Stenotopic, xerophilous, psammophilous, epigean (adult); fossorial (larva). Coastal foredunes and deflation plains. Open ground; rather dry, sandy, bare or sparsely vegetated soil. Larval habitat: Burrows (second and third instars) ranging from 12.7 to 20 cm in depth. Diurnal. Solitary.","Biology. Seasonality: September. Tenerals: September.","Dispersal power. Macropterous. Fast runner.",
